"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17454","All Events list interactions @events @regression","regression","Fri Oct 24 19:08:07 IST 2025","passed","Fri Oct 24 19:08:24 IST 2025","","e2e\events\allEvents.spec.ts","",""
"","25625","Create template with dynamic data @templates @regression","regression","Fri Oct 24 19:11:10 IST 2025","passed","Fri Oct 24 19:11:36 IST 2025","","e2e\templates\createTemplate.spec.ts","",""
"","19475","should login successfully @smoke @critical @auth","smoke","Fri Oct 24 19:06:54 IST 2025","passed","Fri Oct 24 19:07:13 IST 2025","Login - smoke tests","e2e\auth\login.spec.ts","",""
"","51065","User can create an event from URL with dates and attendees @regression @events @functionality","regression","Fri Oct 24 19:08:24 IST 2025","passed","Fri Oct 24 19:09:15 IST 2025","","e2e\events\createEvent.spec.ts","",""
"","5798","should fail: {""email"":""""} @regression @auth @negative","regression","Fri Oct 24 19:07:12 IST 2025","passed","Fri Oct 24 19:07:18 IST 2025","Login - negative","e2e\auth\login.spec.ts","",""
"","7339","should register: John Doe","regression","Fri Oct 24 19:07:18 IST 2025","passed","Fri Oct 24 19:07:25 IST 2025","Register - positive @auth @regression","e2e\auth\register.spec.ts","",""
"","29270","create contact list and import CSV @regression @contacts @functionality","regression","Fri Oct 24 19:07:37 IST 2025","passed","Fri Oct 24 19:08:07 IST 2025","","e2e\contact-lists\createContactList.spec.ts","",""
"","5383","should fail: {""firstName"":""John"",""lastName"":"""",""email"":""nodata@example.com"",""password"":""Test@1234567"",""error"":""Last Name""}","regression","Fri Oct 24 19:07:26 IST 2025","passed","Fri Oct 24 19:07:31 IST 2025","Register - negative @auth @regression","e2e\auth\register.spec.ts","",""
"","5828","should fail: {""firstName"":""John"",""lastName"":""Doe"",""email"":""john+{{ts}}@example.com"",""password"":""short"",""error"":""Password""}","regression","Fri Oct 24 19:07:31 IST 2025","passed","Fri Oct 24 19:07:37 IST 2025","Register - negative @auth @regression","e2e\auth\register.spec.ts","",""
"","17680","should login: venkatesh@obiikriationz.com @regression @auth @positive","regression","Fri Oct 24 19:06:54 IST 2025","passed","Fri Oct 24 19:07:11 IST 2025","Login - positive","e2e\auth\login.spec.ts","",""
"","85241","Auto-fill create event then edit same event @events @regression","regression","Fri Oct 24 19:09:15 IST 2025","passed","Fri Oct 24 19:10:41 IST 2025","","e2e\events\createEventAutoFillAndEdit.spec.ts","",""
"","11427","should login within 45 seconds @performance @load @auth","performance","Fri Oct 24 19:11:40 IST 2025","passed","Fri Oct 24 19:11:51 IST 2025","Login - performance tests","e2e\auth\login.spec.ts","",""
"","64221","Edit an existing event @events @regression","regression","Fri Oct 24 19:10:41 IST 2025","passed","Fri Oct 24 19:11:45 IST 2025","","e2e\events\editEvent.spec.ts","",""
"","113881","Create and launch campaign with dynamic data @campaigns @regression","regression","Fri Oct 24 19:07:37 IST 2025","passed","Fri Oct 24 19:09:31 IST 2025","","e2e\campaigns\createCampaign.spec.ts","",""
"","99319","User can create an event manually @events @manual @regression","regression","Fri Oct 24 19:09:31 IST 2025","passed","Fri Oct 24 19:11:10 IST 2025","","e2e\events\createEventManual.spec.ts","",""
"","4996","should fail: {""firstName"":"""",""lastName"":""Doe"",""email"":""nodata@example.com"",""password"":""Test@1234567"",""error"":""First Name""}","regression","Fri Oct 24 19:07:25 IST 2025","passed","Fri Oct 24 19:07:30 IST 2025","Register - negative @auth @regression","e2e\auth\register.spec.ts","",""
"","6283","should fail: {""firstName"":""John"",""lastName"":""Doe"",""email"":""invalid"",""password"":""Test@1234567"",""error"":""valid email""}","regression","Fri Oct 24 19:07:30 IST 2025","passed","Fri Oct 24 19:07:37 IST 2025","Register - negative @auth @regression","e2e\auth\register.spec.ts","",""
"","6728","should fail: {""email"":""venkatesh@obiikriationz.com""} @regression @auth @negative","regression","Fri Oct 24 19:07:19 IST 2025","passed","Fri Oct 24 19:07:25 IST 2025","Login - negative","e2e\auth\login.spec.ts","",""
